establishment_name,category,system_of_medicine,address,district,certificate_number,certificate_validity,page_number,source,scraped_at
R K Diagnostic Centre,Clinic/Polyclinic with Diagnostic Support,Allopathy,"No. 7, Muddanapalya Road, Near Reliance Mart, Bengaluru- 560091",BENGALURU,BLU02839ALCDS,05 Jan 2027,5,KPME Karnataka Portal,2026-01-19T09:50:10.312292
LEELA CLINIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,"# 1716, E AND F BLOCK, RAMAKRISHNA NAGAR, SARVODAYA ROAD, KUVEMPUNAGAR, MYSURU - 570023",MYSURU,MYS00227ALCDS,15 Dec 2026,5,KPME Karnataka Portal,2026-01-19T09:50:10.336729
OM SHREE SAI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,OPP GANGA MEDICAL H NO 22-192/1A NEAR BUS STAND HUMNABAD BIDAR,BIDAR,BDR00106AYCOC,14 Feb 2027,5,KPME Karnataka Portal,2026-01-19T09:50:10.361796
SRI VENKATESHWARA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"Shree Manjunatha complex , T.B Road, Sidlaghatta",,CBR00067ALCOC,04 Jan 2027,5,KPME Karnataka Portal,2026-01-19T09:50:10.385509
SHANTHI HOSPITAL AND RESEARCH CENTER PVT.LTD.,Hospital (Level 1A),Allopathy,"#307,40TH CROSS,JAYANAGAR 8TH BLOCK,BANGALORE-560070",BANGALORE,BLU05373ALH1A,31 Aug 2028,5,KPME Karnataka Portal,2026-01-19T09:50:10.410074
SRI VINAYAKA NEUROGY AND REHABILTATION CENER,Clinic/Polyclinic Only Consultation,Allopathy,BESIDES VIJAYWANI NEWS PAPER OFFICE OLD JEWERGI ROAD KALABURGI,,GLB00800ALCOC,02 Aug 2028,5,KPME Karnataka Portal,2026-01-19T09:50:10.435909
Ashwini Clinic,Clinic/Polyclinic with Dispensary,Ayurveda,"At - Agadi, Tq - Haveri",HAVERI,HVR00385AYCWD,19 Jul 2027,5,KPME Karnataka Portal,2026-01-19T09:50:10.463367
K M C HOSPITAL,Hospital (Level 1B),Allopathy,OPPOSITE ESSAR PETROL PUMP HALYAL ROAD ATHANI TQ.ATHANI DT.BELAGAVI-591304,BELAGAVI,BLG00622ALH1B,07 Mar 2027,5,KPME Karnataka Portal,2026-01-19T09:50:10.505945
SADA CLINIC,Clinic/Polyclinic Only Consultation,Homeopathy,MASHA ALLAH GREEN HEIGHTS APARTMENT SHOP NO.19 MAIN ROAD SHAHU NAGAR BELAGAVI TQ/DT.BELAGAVI-590010,BELAGAVI,BLG00594HOCOC,08 Feb 2027,5,KPME Karnataka Portal,2026-01-19T09:50:10.533491
EVEN HEALTHCARE PRIVATE LIMITED,Clinic/Polyclinic with Diagnostic Support,Allopathy,"GROUND FLOOR, 311, 6TH MAIN ROAD, INDIRANAGAR, BANGALORE-560038.",BANGALORE,BLU02836ALCDS,04 Jan 2027,5,KPME Karnataka Portal,2026-01-19T09:50:10.560610
ANUGRAHA AYURVEDIC CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,NEAR AKASHAVANI BRAHMAVARA,,UDP00695AYCWD,18 May 2027,5,KPME Karnataka Portal,2026-01-19T09:50:10.585485
JANGU CLINIC,Clinic/Polyclinic Only Consultation,Homeopathy,KACHERI ROAD NEAR TASHILDAR OFFICE BELAGAVI TQ/DT.BELAGAVI-590002,BELAGAVI,BLG00595HOCOC,08 Feb 2027,5,KPME Karnataka Portal,2026-01-19T09:50:10.621014
SHAMANTH DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"T.B. ROAD, SIDLAGHATTA",,CBR00068ALDEN,04 Jan 2027,5,KPME Karnataka Portal,2026-01-19T09:50:10.672269
Ashwini Clinic,Clinic/Polyclinic with Dispensary,Allopathy,"2 nd Cross , Vidya Nagar, Byadgi",,HVR00437ALCWD,30 Dec 2027,5,KPME Karnataka Portal,2026-01-19T09:50:10.757003
MANASA NURSING HOME,Hospital (Level 1A),Allopathy,CHATRAKERI THIRTHAHALLI,,SMG00331ALH1A,24 Jan 2028,5,KPME Karnataka Portal,2026-01-19T09:50:10.853341
K.K DIAGNOSTIC LABORATORY,Medical Diagnostic Laboratory,Allopathy,"GROUND FLOOR, ROBEN PLAZA, PADAVINANGADY, MANGALORE",MANGALORE,DKA00655ALMDL,01 Mar 2027,5,KPME Karnataka Portal,2026-01-19T09:50:10.948953
SHREE GANESH CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,BHRAHMAVARA UDUPI,UDUPI,UDP00582AYCWD,01 Mar 2027,5,KPME Karnataka Portal,2026-01-19T09:50:10.986105
ASHWINI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"AT POST HUNASAGI, TQ SHORAPUR, DIST YADAGIRI",,YDR00421AYCOC,20 Jan 2027,5,KPME Karnataka Portal,2026-01-19T09:50:11.011707
ASHWINI CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,"ASHWINI CLINIC,BSA COMPLEX,ATHUR",,DKA01093AYCWD,14 Jun 2027,5,KPME Karnataka Portal,2026-01-19T09:50:11.047887
Dr. Sheethal Dental Clinic,Dental Lab or Clinic,Allopathy,"No. 86/4, Nagarabhavi Main Road, Opp. Bank of Baroda, Mudalapalya, Blore- 72",,BLU03619ALDEN,29 Aug 2027,5,KPME Karnataka Portal,2026-01-19T09:50:11.107684
2,1,1 2 3 4 5 6 7 8 9 10 ...,3,,5,4,5,KPME Karnataka Portal,2026-01-19T09:50:11.146724
3,2,1,4,,6,5,5,KPME Karnataka Portal,2026-01-19T09:50:11.173605
TALWADE HOSPITAL,Hospital (Level 1A),Allopathy,"Opp. Heeralal Pannalal High School, Bidar",BIDAR,BDR00071ALH1A,01 Sep 2026,6,KPME Karnataka Portal,2026-01-19T09:50:14.787959
SHALOM CLINIC,Clinic/Polyclinic with Dispensary,Allopathy,"Nagara Road, 2nd Bridge, Masthikatte, Hosanagara tq.",,SMG00175ALCWD,04 Apr 2027,6,KPME Karnataka Portal,2026-01-19T09:50:14.815769
MOTHER TERESA HOSPITAL,Clinic/Polyclinic Only Consultation,Allopathy,"Kannamangala palya, Kasaba hobli, devanhalli",,BLR00147ALCOC,03 Apr 2027,6,KPME Karnataka Portal,2026-01-19T09:50:14.842824
Lakshmi Clinical Laboratory,Clinic/Polyclinic with Diagnostic Support,Allopathy,High School Road Jakkanahalli .V. Pandavapura,,MAN00157ALCDS,01 Sep 2026,6,KPME Karnataka Portal,2026-01-19T09:50:14.874543
RITI LIFECARE HOSPITAL,Hospital (Level 2),Allopathy,M S CHANNAL BUILDING JAYALAXMINAGAR MAHALINGAPUR,,BGK00167ALHL2,03 Oct 2026,6,KPME Karnataka Portal,2026-01-19T09:50:14.923246
AKSHAYA HOMOEOPATHY CLINIC,AYUSH Therapy Centre,Homeopathy,"No 5 – 224/5, Ground Floor, Star Commercial Complex, Kaikamba, Post Kinnikambla, Mangalore Taluk",MANGALORE,DKA00761HOATC,31 Mar 2027,6,KPME Karnataka Portal,2026-01-19T09:50:14.974286
New Sanjeevini Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"H.D. Kote Road, D. Salundi, Dhanagalli Post, Mysore Taluk.",MYSORE,MYS00597AYCOC,07 Jul 2027,6,KPME Karnataka Portal,2026-01-19T09:50:15.013436
Sri Sangameshwara Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Market road, Kollegala Taluk",,CNR00073AYCOC,06 Jul 2028,6,KPME Karnataka Portal,2026-01-19T09:50:15.038483
N M BALASING MEMORIAL HOSPITAL,Hospital (Level 1B),Allopathy,GULAM HUSSAIN GALLI NEAR JUNIOR COLLEGE VIJAYAPUR,,BIJ00336ALH1B,21 Jan 2027,6,KPME Karnataka Portal,2026-01-19T09:50:15.065750
DR SATISH M RASHINKAR CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,GOBBUR BUILDING S S ROAD VIJAYAPUR,,BIJ00417ALCOC,09 Apr 2027,6,KPME Karnataka Portal,2026-01-19T09:50:15.093730
ShriSwamy clinic,Clinic/Polyclinic Only Consultation,Ayurveda,Malebennur,,DVG00330AYCOC,19 Jun 2027,6,KPME Karnataka Portal,2026-01-19T09:50:15.134262
SRI NANDI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,KOKKANURU,,DVG00387AYCOC,28 Sep 2027,6,KPME Karnataka Portal,2026-01-19T09:50:15.224948
ENT CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"No.272, Sagar Deep, Doddanayakanakoppa, Dharwad-8",DHARWAD,DWR00406ALCOC,10 Dec 2026,6,KPME Karnataka Portal,2026-01-19T09:50:15.297133
Malnad Clinic,Clinic/Polyclinic with Dispensary,Unani,"K.M. Road, Mudigere - 577132",,CKM00132UNCWD,02 Jun 2027,6,KPME Karnataka Portal,2026-01-19T09:50:15.385503
ANUGRAHA CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,SHANBOG COMPLEX PETHRI UDUPI,UDUPI,UDP00578AYCWD,01 Mar 2027,6,KPME Karnataka Portal,2026-01-19T09:50:15.450137
SAI KRUPA FOUNDATION,Hospital (Level 1A),Allopathy,VAGATA HONCHANAHALLI NEAR ANJANEYA TEMPLE,,BLR00181ALH1A,10 Jul 2027,6,KPME Karnataka Portal,2026-01-19T09:50:15.478928
KPN ayurveda,AYUSH Therapy Centre,Ayurveda,"10th cross, SHANKAR MUTT ROAD, HASSAN",HASSAN,HSN00125AYATC,16 Mar 2027,6,KPME Karnataka Portal,2026-01-19T09:50:15.503920
Lifecare Diagnostic,Medical Diagnostic Laboratory,Allopathy,Manjunatha complex TB road,,CBR00062ALMDL,04 Jan 2027,6,KPME Karnataka Portal,2026-01-19T09:50:15.533575
PREMA POLYCLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"BANDSALE COMPLEX,NEAR BUS STOP,NH 66,THEKKATTE,KUNDAPURA TALUK,UDUPI DT-576231",UDUPI,UDP00633ALCOC,30 Mar 2027,6,KPME Karnataka Portal,2026-01-19T09:50:15.594459
NIRNAY DIAGNOSTIC CENTRE,Clinic/Polyclinic with Diagnostic Support,Allopathy,"NO.12, 2ND MAIN, MURALI VIHAR SUNDERNAGAR, GOKULA, BANGALORE-560054.",BANGALORE,BLU03417ALCDS,06 Jun 2027,6,KPME Karnataka Portal,2026-01-19T09:50:15.683933
SHREE ARUNAGIRI CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"Araga Gate, Araga Po., Araga, Thirthahalli Tq.",,SMG00229ALCOC,01 Sep 2027,6,KPME Karnataka Portal,2026-01-19T09:50:15.767924
THEORY OF SKIN PURNAA TRUST,Clinic/Polyclinic with Observation,Allopathy,"NO.294, 6TH MAIN ROAD, HAL 2ND STAGE, INDIRANAGAR, BANGALORE-560038.",BANGALORE,BLU02159ALCWO,03 Aug 2026,6,KPME Karnataka Portal,2026-01-19T09:50:15.844232
CHIRAG HOSPITAL & MATERNITY CENTER,Hospital (Level 2),Allopathy,"#1635, 17th Main, J.P Nagar 2nd Phase, Bengaluru",BENGALURU,BLU03260ALHL2,04 Apr 2027,6,KPME Karnataka Portal,2026-01-19T09:50:15.869335
NH HEALTH CITY INTERNATIONAL WING A UNIT OF NARAYANA HRUDAYALAYA LTD,Hospital (Level 2),Allopathy,"NO.259-A, BOMMASANDRA INDUSTRIAL AREA, HOSUR ROAD, ATTIBELE HOBLI, ANEKAL TALUK, URBAN DIST, BANGALORE-560099.",BANGALORE,BLU04739ALHL2,22 May 2028,6,KPME Karnataka Portal,2026-01-19T09:50:15.896954
AYURVEDIC CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,AYURVEDIC CLINIC N.H 66 PRIYADARSHINI BYNDOOR.,,UDP00449AYCWD,28 Nov 2026,6,KPME Karnataka Portal,2026-01-19T09:50:15.943976
Kengala Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Sagadgeri-madangeri road, Balale,Madangeri,Ankola",,UKA00108AYCOC,19 May 2027,6,KPME Karnataka Portal,2026-01-19T09:50:16.033688
VIJAYA CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,HOSMAR,,UDP00281AYCWD,02 Sep 2026,6,KPME Karnataka Portal,2026-01-19T09:50:16.120065
Crystal Diagnostic centre,Clinic/Polyclinic with Diagnostic Support,Allopathy,#12 AB 14th main road 3rd cross behind more mega store E block Sahakarnagar,,BLU02237ALCDS,23 Aug 2026,6,KPME Karnataka Portal,2026-01-19T09:50:16.207771
J J HEALTHCARE SOLUTIONS,Hospital (Level 1B),Allopathy,"1961, 1st cross road, kanakadasa nagar dattagalli 3rd stage",,MYS00168ALH1B,16 Nov 2026,6,KPME Karnataka Portal,2026-01-19T09:50:16.248791
CHANRE LABORATORY PRIVATE LIMITED,Clinic/Polyclinic with Diagnostic Support,Allopathy,"NO 121/1,3RD MAIN, BET 10TH AND 11TH CROSS, MARGOSA ROAD , MALLESHWARAM",,BLU02394ALCDS,24 Sep 2026,6,KPME Karnataka Portal,2026-01-19T09:50:16.315927
Shreeya Diagnostic Center,Medical Diagnostic Laboratory,Allopathy,At post Nagaramunnoli,,BLG00407ALMDL,17 Sep 2026,6,KPME Karnataka Portal,2026-01-19T09:50:16.358859
CHIRAG MULTISPECIALITY HOSPITAL,Hospital (Level 2),Allopathy,BESIDE VIJAYAMBA TEMPLE SHAHU NAGAR NEAR SHIVAJI CIRCLE VIJAYAPUR,,BIJ00247ALHL2,15 Sep 2026,6,KPME Karnataka Portal,2026-01-19T09:50:16.392155
RAKSHAN MATERNITY AND FERTILITY CENTRE,Clinic/Polyclinic with Observation,Allopathy,"E1-891/75/15 NEAR WATER TANK HANUMAN TEMPLE, KARUNESHWAR NAGAR, NEW JEWARGI ROAD,KALABURAGI",KALABURAGI,GLB00283ALCWO,26 Jul 2026,6,KPME Karnataka Portal,2026-01-19T09:50:16.441155
Joshis Andrology & Urology Centre,Hospital (Level 1B),Allopathy,"No. 776, 1st and 2nd Floor, 19th cross, 14th Main, A Block, opp to Ganesh Temple, Sahakarnagar, Bengaluru-560092",BENGALURU,BLU02197ALH1B,16 Aug 2026,6,KPME Karnataka Portal,2026-01-19T09:50:16.516908
HEGDE HEALTH COMPLEX,Hospital (Level 2),Allopathy,"Park Extension, 3rd cross, shimoga",,SMG00156ALHL2,14 Feb 2027,6,KPME Karnataka Portal,2026-01-19T09:50:16.574576
CHETHANA CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,MAIN ROAD HOODE UDUPI,UDUPI,UDP00342AYCWD,15 Sep 2026,6,KPME Karnataka Portal,2026-01-19T09:50:16.655383
Ashwini Clinic,Clinic/Polyclinic Only Consultation,Integrated System,"#142, Ashwini Clinic, Doddekoppal, K R Nagar Taluk",KOPPAL,MYS00521ISCOC,01 Jun 2027,6,KPME Karnataka Portal,2026-01-19T09:50:16.714037
Adarsha Clinic,Clinic/Polyclinic with Dispensary,Ayurveda,"Namana Kushi Commplex Bulerikatte, Balnadu",,DKA01029AYCWD,12 Jun 2027,6,KPME Karnataka Portal,2026-01-19T09:50:16.770751
AYUSHMAAN HEALTH CARE,Hospital (Level 1A),Allopathy,"# 6 KIADB LAYOUT, HEBBAL LAKE ROAD, OPP SKANRAY TECHNOLOGIES",,MYS00370ALH1A,09 Mar 2027,6,KPME Karnataka Portal,2026-01-19T09:50:16.846836
MEDICURE HEALTH CENTRE,Clinic/Polyclinic with Observation,Allopathy,"#16, 2ND MAIN, MARUTHI LAYOUT, HBCS B.T.M LAYOUT 1ST STAGE, BANGALORE-560029",BANGALORE,BLU02253ALCWO,23 Aug 2026,6,KPME Karnataka Portal,2026-01-19T09:50:16.939224
VAIDYA SANE AYURVED LAB PVT LTD. MADHAVBAUG,AYUSH Therapy Centre,Ayurveda,"Mandi Plaza, Opp. Post Office, K C Park, Haliyal Road, Dharwad.",DHARWAD,DWR00367AYATC,30 Sep 2026,6,KPME Karnataka Portal,2026-01-19T09:50:17.033284
KULKARNI HOSPITAL,Hospital (Level 1B),Allopathy,VIDYA NAGAR FIRST CROSS NEAR WATER TANK SINDAGI,,BIJ00375ALH1B,05 Feb 2027,6,KPME Karnataka Portal,2026-01-19T09:50:17.119473
SRI MATHA HOSPITAL,Hospital (Level 2),Allopathy,CHURCH ROAD,,UDP00419ALHL2,25 Nov 2026,6,KPME Karnataka Portal,2026-01-19T09:50:17.209430
BIDARE LINGAPPA HOSPITAL,Hospital (Level 2),Allopathy,"BEHIND PRABHAT COFFEE WORKS, B.H.ROAD,N.H.-206 ,TIPTUR",,TMK00233ALHL2,24 Sep 2026,6,KPME Karnataka Portal,2026-01-19T09:50:17.289228
KINAGI MATERNITY HOME,Hospital (Level 2),Allopathy,Old jewargi road beside Nagarjun Hotel Mohan lodge circle Station Area Gulbarga,,GLB00291ALHL2,04 Aug 2026,6,KPME Karnataka Portal,2026-01-19T09:50:17.378664
SUN DIAGNOSTICS,Diagnostic Imaging Centre,Allopathy,SUN DIAGNOSTICS J.G.CO-OPERATIVE HOSPITAL ROAD BESIDE RAILWAY OVER BRIDGE GHATAPRABA,,BLG00410ALDIC,17 Sep 2026,6,KPME Karnataka Portal,2026-01-19T09:50:17.453023
MANNAT FERTILITY CLINIC,Clinic/Polyclinic with Observation,Allopathy,"NO. 90/2, 2ND FLOOR, KRISHNA ICON, OUTER RING ROAD, MARATHAHALLI, BANGALORE - 560037",BANGALORE,BLU03427ALCWO,06 Jun 2027,6,KPME Karnataka Portal,2026-01-19T09:50:17.525043
PRADEEP CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,DR PRADEEP B HUDDAR BAMS NEAR KVG BANK RAILWAY STATION ROAD GHATPRABHA TALUKA GOKAK DISTRICT BELAGAVI,BELAGAVI,BLG00469AYCOC,01 Nov 2026,6,KPME Karnataka Portal,2026-01-19T09:50:17.604577
NANDI HEALTH CARE NANDI FOUNDATION,Clinic/Polyclinic Only Consultation,Ayurveda,"NO.241, VENKATADRI LANE, ANNASANDRAPALYA , HAL BANGALORE-560017",BANGALORE,BLU02367AYCOC,19 Sep 2026,6,KPME Karnataka Portal,2026-01-19T09:50:17.675926
CITY HI TECH CLINICAL LABORATORY,Medical Diagnostic Laboratory,Allopathy,BESIDES GOVERNMENT HOSPITAL 1ST CROSS JAGALUR TQ DAVANAGERE,DAVANAGERE,DVG00227ALMDL,11 Oct 2026,6,KPME Karnataka Portal,2026-01-19T09:50:17.754554
MEDLAND MEDICAL CENTRE,Clinic/Polyclinic with Dispensary,Allopathy,"J M ROAD, GANGOLLI, UDUPI",UDUPI,UDP00632ALCWD,30 Mar 2027,6,KPME Karnataka Portal,2026-01-19T09:50:17.834824
SNEHA MANOVIKASA KENDRA,Hospital (Level 2),Allopathy,"Opposite DDPI Office, Net to Canara Bank, Dr. Radhakrishna Road, Tumkur 572102",,TMK00288ALHL2,27 Dec 2026,6,KPME Karnataka Portal,2026-01-19T09:50:17.917905
Aswani Multispeciiality HOSPTAL,Hospital (Level 2),Allopathy,H.No 15-3-268 BNR Complex Beside More Supermarket Manvi,,RCR00084ALHL2,21 Jun 2027,6,KPME Karnataka Portal,2026-01-19T09:50:18.000880
SHRI VEERABHADRESHWAR CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"MAHANTESH NAGAR , BUDANUR",,BLG00777AYCOC,03 Aug 2027,6,KPME Karnataka Portal,2026-01-19T09:50:18.088954
SHOBHA MATERNITY AND SURGICAL HEALTH CARE CENTRE,Hospital (Level 1A),Allopathy,"NO.171/A,P R, BUILDING,16TH MAIN ,BTM LAYOUT ,1ST STAGE ,NEAR TAVAREKERE BUS STOP ,BANGALORE -560029",BANGALORE,BLU02696ALH1A,05 Dec 2026,6,KPME Karnataka Portal,2026-01-19T09:50:18.171544
ST JOSEPHS HEALTH CARE CENTER,Clinic/Polyclinic with Diagnostic Support,Allopathy,"JEEVAN JYOTHI TRUST, SUSAIPALYAM ANDERSONPET KGF",,KLR00141ALCDS,12 Jun 2027,6,KPME Karnataka Portal,2026-01-19T09:50:18.275062
Veda Rehabilitation And Wellness Private Limited,Integrated Counseling Centre,Yoga and Naturopathy,"Veda, No 437, Phase 3, Jade Garden Annex, Sadahalli Village, Devanahalli Taluk, Bengaluru Rural, Bengaluru - 562110",BENGALURU,BLR00125YNICC,15 Jan 2027,6,KPME Karnataka Portal,2026-01-19T09:50:18.371523
Sri Venkateshwara Clinic,Clinic/Polyclinic Only Consultation,Allopathy,"Avani Village, Mulbagal taluk",,KLR00158ALCOC,12 Jun 2027,6,KPME Karnataka Portal,2026-01-19T09:50:18.475833
IRIDIUM,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#115,1st Floor, SBR Complex, Hosur Main Road, Chandapura Circle, Bengaluru, 560099",BENGALURU,BLU02991ALCDS,02 Feb 2027,6,KPME Karnataka Portal,2026-01-19T09:50:18.575798
SMILE INNOVATORS DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"Jayavarma Centre, No. 6 ,First Floor , Mallikatta , Mangalore",MANGALORE,DKA03158ALDEN,04 Nov 2030,6,KPME Karnataka Portal,2026-01-19T09:50:18.675497
Dr. Anand P. Karkal,Clinic/Polyclinic with Dispensary,Allopathy,"Shop no 15/A, Ashraya Complex, CTS No 11, RPD Cross, Tilakwadi",,BLG02250ALCWD,03 Jul 2029,6,KPME Karnataka Portal,2026-01-19T09:50:18.733814
Vinayaka multispecialty clinic,Clinic/Polyclinic with Diagnostic Support,Allopathy,"Lobo building , gurupura kaikamba Mangalore",MANGALORE,DKA03232ALCDS,28 Nov 2030,6,KPME Karnataka Portal,2026-01-19T09:50:18.813078
Jyothi Diagnostics,Clinic/Polyclinic with Diagnostic Support,Allopathy,"1st Floor, Citi Centre, Balmatta Road, Mangalore",MANGALORE,DKA00496ALCDS,06 Jul 2026,6,KPME Karnataka Portal,2026-01-19T09:50:18.868857
Srivatsa Ayurveda Clinic,Clinic/Polyclinic with Dispensary,Ayurveda,"Near Janatha Bazar, 5th Cross Down, KR Puram, Hassan",HASSAN,HSN00219AYCWD,10 Aug 2027,6,KPME Karnataka Portal,2026-01-19T09:50:18.966961
Dental speciality clinic,Dental Lab or Clinic,Allopathy,"door no.5-223/17, 1st floor, Pompei square, Main road, gurupura-Kaikamba, kinikambla, kinikambla post, mangaluru 574151",,DKA00578ALDEN,25 Oct 2026,6,KPME Karnataka Portal,2026-01-19T09:50:19.067596
Omisha Hospital,Hospital (Level 1A),Allopathy,Near Jolad Bazar,,BGK01194ALH1A,11 Aug 2030,6,KPME Karnataka Portal,2026-01-19T09:50:19.182542
speciality dental clinic,Dental Lab or Clinic,Allopathy,gandhi gunj road khaji colony,,BDR00057ALDEN,27 Jul 2026,6,KPME Karnataka Portal,2026-01-19T09:50:19.300645
DR. SATHEESH KUMAR BHANDARY B.,Clinic/Polyclinic Only Consultation,Allopathy,"Medical Chambers, Don Bosco Hall Cross Road, Mangalore",MANGALORE,DKA03202ALCOC,25 Nov 2030,6,KPME Karnataka Portal,2026-01-19T09:50:19.431648
Panchajanya Ayurveda Ashrama,AYUSH Therapy Centre,Ayurveda,"Kadegadde, Kudregundi, Koppa",,CKM00034AYATC,20 Nov 2025,6,KPME Karnataka Portal,2026-01-19T09:50:19.535516
ANAND CLINIC CHEM LABORATORY,Clinic/Polyclinic with Diagnostic Support,Allopathy,"NO.592/6/1, 10TH CROSS, 7TH BLOCK WEST, JAYANAGAR, BANGALORE-560082.",BANGALORE,BLU11873ALCDS,06 Aug 2030,6,KPME Karnataka Portal,2026-01-19T09:50:19.647617
PAWAN CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"NO.898, 11TH CROSS, 1ST C MAIN, 2ND PHASE, GIRINAGAR, BANGALORE-560085",BANGALORE,BLU11953ALCOC,19 Aug 2030,6,KPME Karnataka Portal,2026-01-19T09:50:19.742729
NISARGA DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"Shop No 1A, Belamkar Complex, Pacific Plaza, Club Road, Deshpande Nagar, Hubballi.",,DWR00199ALDEN,15 Feb 2026,6,KPME Karnataka Portal,2026-01-19T09:50:19.850175
VANDANA DIAGNOSTIC,Medical Diagnostic Laboratory,Allopathy,"NO. 11, MUDDANAPALYA MAIN ROAD, BEL LAYOUT, 1ST STAGE, MAGADI ROAD, BANGALORE 560091",BANGALORE,BLU12203ALMDL,16 Sep 2030,6,KPME Karnataka Portal,2026-01-19T09:50:19.936998
A ONE DENTAL CLINIC & IMPLANT CENTRE,Dental Lab or Clinic,Allopathy,"#973, First cross Sarigenagar, kolar",KOLAR,KLR00042ALDEN,12 Aug 2026,6,KPME Karnataka Portal,2026-01-19T09:50:20.021405
SANJEEVINI CHIKITSALAYA,Clinic/Polyclinic Only Consultation,Allopathy,"Govt Hospital Road, Mariyammanahalli. Hospet Tq, Ballari District",BALLARI,VIJ00022ALCOC,01 Jul 2027,6,KPME Karnataka Portal,2026-01-19T09:50:20.115684
MEDILINE CLINICAL LABORATORY,Medical Diagnostic Laboratory,Allopathy,"OPP GOVT HOSPITAL, VARTHUR, BENGALURU",BENGALURU,BLU11678ALMDL,18 Jul 2030,6,KPME Karnataka Portal,2026-01-19T09:50:20.146515
DR JEEVANNAVAR BLOOD BANK,Blood Bank,Allopathy,"Dr K H Jituri Hospital Building, Gokul Road, Hosur Cross, Hubballi.",,DWR00079ALBLB,19 Oct 2025,6,KPME Karnataka Portal,2026-01-19T09:50:20.170581
SRI SAI GANESH CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"NO 5, OPP NANDI GRADENS, AVALAHALLI, ANJANAPURA MAIN ROAD, J.P NAGAR, BANGALORE-560062",BANGALORE,BLU12111ALCOC,08 Sep 2030,6,KPME Karnataka Portal,2026-01-19T09:50:20.199329
DR SHAMEEMA HOMEOPATHY CLINIC,Clinic/Polyclinic with Dispensary,Homeopathy,"16-9-536 A, OPP ATHENA HOSPITAL , NEAR YMCA, FALNIR, MANGALORE - 575002",MANGALORE,DKA00438HOCWD,09 May 2026,6,KPME Karnataka Portal,2026-01-19T09:50:20.265179
OM SAI STAR POLY CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"No.153, Vinayak Nnagar, Singapura Main Road, M.S.Palya, Vidhyaranyapura Post, Bangalore",BANGALORE,BLU00669ALCOC,10 Sep 2025,6,KPME Karnataka Portal,2026-01-19T09:50:20.351669
KIRAN CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"Near Primary School, Vanashri Road, Tq.Alnavar, Dist.Dharwad.",DHARWAD,DWR01425ALCOC,14 Oct 2030,6,KPME Karnataka Portal,2026-01-19T09:50:20.445746
Nethra Jyothi Eye Clinic,Clinic/Polyclinic Only Consultation,Allopathy,"No.1, 1st Floor, Maruthi Sankeerna Building, New Thippasandra Main Road, Bengaluru-560075",BENGALURU,BLU00756ALCOC,25 Sep 2025,6,KPME Karnataka Portal,2026-01-19T09:50:20.547852
SRI GANESHA POLYCLINIC AND DIAGNOSTIC CENTRE,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#10/3-10, KATHRIGUPPE MAIN ROAD, BSK 3RD STAGE, BENGALURU.",BENGALURU,BLU01555ALCDS,24 Feb 2026,6,KPME Karnataka Portal,2026-01-19T09:50:20.653700
CITY CLINIC AYURVEDA,AYUSH Therapy Centre,Ayurveda,"Madhavpur, Dajibanpeth Road, Hubballi.",,DWR00038AYATC,28 Sep 2025,6,KPME Karnataka Portal,2026-01-19T09:50:20.765433
SPANDANA LABORATORY & SCANING CENTRE,Medical Diagnostic Laboratory,Allopathy,"GROUND FLOOR, HASSAN TOWER, OLD BUSTAND UPPINANGADY",HASSAN,DKA00168ALMDL,06 Dec 2025,6,KPME Karnataka Portal,2026-01-19T09:50:20.880700
